booked_by,booking_date,revenue
Member,2022-07-03,70
Guest,2022-07-03,35
Guest,2022-07-04,390
Member,2022-07-04,107
Guest,2022-07-05,110
Member,2022-07-05,77
Member,2022-07-06,92
Guest,2022-07-06,150
Member,2022-07-07,199
Guest,2022-07-07,305
Guest,2022-07-08,550
Member,2022-07-08,130
Member,2022-07-09,200
Guest,2022-07-09,176.5
Guest,2022-07-10,705
Member,2022-07-10,210
Guest,2022-07-11,720
Member,2022-07-11,270
Guest,2022-07-12,145
Member,2022-07-12,100
Guest,2022-07-13,576.5
Member,2022-07-13,200
Guest,2022-07-14,145
Member,2022-07-14,222
Guest,2022-07-15,385
Member,2022-07-15,185
Member,2022-07-16,325
Guest,2022-07-16,110
Member,2022-07-17,347
Guest,2022-07-17,360
Guest,2022-07-18,420
Member,2022-07-18,247
Guest,2022-07-19,841.5
Member,2022-07-19,299
Guest,2022-07-20,500
Member,2022-07-20,329
Guest,2022-07-21,906.5
Member,2022-07-21,277
Member,2022-07-22,409
Guest,2022-07-22,615
Member,2022-07-23,285
Guest,2022-07-23,525
Guest,2022-07-24,1105
Member,2022-07-24,270
Member,2022-07-25,626
Guest,2022-07-25,845
Guest,2022-07-26,470
Member,2022-07-26,455
Guest,2022-07-27,990
Member,2022-07-27,439
Member,2022-07-28,330
Guest,2022-07-28,860
Member,2022-07-29,454
Guest,2022-07-29,540
Member,2022-07-30,245
Guest,2022-07-30,986.5
Guest,2022-07-31,850
Member,2022-07-31,486
