txn_id,customer_id,txn_date,amount,merchant
1,101,2024-01-05,150.00,Amazon
2,102,2024-01-08,80.00,Starbucks
3,101,2024-01-15,220.00,Whole_Foods
4,103,2024-01-20,500.00,Apple
5,101,2024-01-28,90.00,Target
6,102,2024-02-02,120.00,Amazon
7,104,2024-02-05,1200.00,Delta
8,101,2024-02-10,75.00,Starbucks
9,103,2024-02-12,300.00,Best_Buy
10,102,2024-02-18,60.00,Target
11,104,2024-02-22,800.00,Marriott
12,101,2024-02-28,180.00,Amazon
13,102,2024-03-03,95.00,Starbucks
14,105,2024-03-05,3500.00,Apple
15,103,2024-03-10,150.00,Target
16,101,2024-03-15,250.00,Whole_Foods
17,104,2024-03-20,650.00,Delta
18,105,2024-03-22,1800.00,Best_Buy
19,102,2024-03-28,110.00,Amazon
20,101,2024-03-30,300.00,Apple
